order_purchase_timestamp,order_count,revenue
2016-09,2,132.39
2016-10,308,50942.23
2016-11,0,0.0
2016-12,1,10.9
2017-01,788,126703.99
2017-02,1733,260753.86000000002
2017-03,2638,396364.04
2017-04,2383,391133.45
2017-05,3659,545210.66
2017-06,3214,452784.42
2017-07,3967,533538.84
2017-08,4291,601331.67
2017-09,4243,662276.39
2017-10,4568,693807.6
2017-11,7451,1046127.84
2017-12,5624,770656.15
2018-01,7220,987151.41
2018-02,6694,879969.8
2018-03,7188,1025936.06
2018-04,6934,1029472.3
2018-05,6851,1030192.4400000001
2018-06,6160,909221.1
2018-07,6264,924453.43
2018-08,6446,882599.9
2018-09,1,145.0
