product_category_name_english,num_products_sold,min_price,max_price,avg_price
agro_industry_and_commerce,74,12.99,2990.0,332.7061507936508
air_conditioning,124,10.9,1599.0,185.30589403973508
art,55,3.5,6499.0,112.88570776255709
arts_and_craftmanship,19,9.8,289.49,75.58375
audio,58,14.9,598.99,138.02728947368422
auto,1900,3.49,2258.0,140.8432313313542
baby,918,3.54,3899.0,135.38203755868545
bed_bath_table,3638,3.0,3980.0,95.01456154643758
books_general_interest,216,6.0,899.9,85.30522123893805
books_imported,31,18.99,749.0,78.25564516129033
books_technical,123,9.95,384.93,71.37374074074074
cds_dvds_musicals,1,45.0,65.0,52.142857142857146
christmas_supplies,65,5.5,295.0,56.94735483870968
cine_photo,28,6.8,873.99,95.14191780821918
computers,30,34.5,6729.0,1103.6891363636364
computers_accessories,1639,3.9,3699.99,116.58965231378372
consoles_games,317,5.18,4099.99,139.47492023509656
construction_tools_construction,400,0.85,2300.0,154.5477076761304
construction_tools_lights,78,12.51,1290.0,133.35111821086264
construction_tools_safety,91,8.9,3099.9,210.94226130653269
cool_stuff,789,7.0,3109.99,166.11725357411586
costruction_tools_garden,88,8.82,1349.9,106.93914285714285
costruction_tools_tools,39,6.8,1899.0,153.0752380952381
diapers_and_hygiene,12,25.0,139.89,40.19461538461538
drinks,81,6.0,623.0,59.20870466321244
dvds_blu_ray,48,8.9,1420.0,90.97380281690141
electronics,517,3.99,2470.5,58.621866432337434
fashio_female_clothing,27,19.9,198.9,58.409166666666664
fashion_bags_accessories,849,6.0,1699.99,75.41600650860065
fashion_childrens_clothes,5,39.99,110.0,71.23125
fashion_male_clothing,95,14.9,292.5,80.218
fashion_shoes,173,25.9,365.0,89.81521897810218
fashion_sport,19,24.99,225.0,70.65033333333334
fashion_underwear_beach,53,3.9,192.0,71.73784722222223
fixed_telephony,116,6.0,1790.0,227.679926199262
flowers,14,15.6,65.9,33.63757575757575
food,82,9.99,274.99,57.261292775665396
food_drink,104,6.5,699.9,56.62121107266436
furniture_bedroom,45,6.9,650.0,175.40544
furniture_decor,2657,4.9,1899.0,87.49930123513266
furniture_living_room,156,13.9,839.99,138.3688446969697
furniture_mattress_and_upholstery,10,44.7,399.99,117.94829268292683
garden_tools,753,6.35,3930.0,113.29635767380847
health_beauty,2444,1.2,3124.0,130.09985960689932
home_appliances,370,6.19,2090.0,104.42959390862944
home_appliances_2,90,13.9,2350.0,459.94518656716417
home_comfort_2,5,12.9,219.99,24.940967741935484
home_confort,111,6.99,799.0,135.84471578947367
home_construction,225,8.97,1097.99,138.19927444794953
housewares,2335,3.06,6735.0,90.63045547246772
industry_commerce_and_business,68,27.9,3089.0,147.80667896678966
kitchen_dining_laundry_garden_furniture,94,9.6,1320.0,162.75526845637583
la_cuisine,10,24.0,389.0,143.99875
luggage_accessories,349,13.33,1197.9,127.61902837489251
market_place,104,9.99,1964.0,88.4039156626506
music,27,3.85,1165.97,156.45499999999998
musical_instruments,289,4.9,4399.87,293.7726044568245
office_furniture,309,25.0,1189.9,160.94429696287966
party_supplies,26,7.99,571.2,103.37347826086958
perfumery,868,4.99,689.9,115.94236235955056
pet_shop,719,2.9,2498.0,109.92716962524655
security_and_services,2,100.0,183.29,141.64499999999998
signaling_and_security,93,4.5,740.0,107.38711442786071
small_appliances,231,6.5,4799.0,286.6143509272468
small_appliances_home_oven_and_coffee,31,10.19,2899.0,627.5091025641026
sports_leisure,2867,4.5,4059.0,114.47695248742313
stationery,849,2.29,1693.0,91.33702330913259
tablets_printing_image,9,14.9,889.99,90.11850574712643
telephony,1134,5.0,2428.0,71.89137047235755
toys,1411,4.9,1699.99,117.08286683828692
watches_gifts,1329,8.99,3999.9,202.08729237219805
